name,online_order,book_table,rate,votes,location,restaurant_type,cuisines,approx_cost,listed_type,listed_city
20 Feet High,True,True,4.0,938,Church Street,"Casual Dining, Bar","American, Continental, Steak, Salad",1000,Dine-out,Lavelle Road
Kitchen On Table,True,False,4.0,55,Brigade Road,Casual Dining,"Japanese, Sushi, Asian",1500,Dine-out,Lavelle Road
Hotel Tom's Restaurant,True,True,4.4,719,Richmond Road,Casual Dining,"Mangalorean, Seafood, Chinese, North Indian",1000,Dine-out,Lavelle Road
Mahjong Room - WelcomHotel Bengaluru,False,True,4.4,127,Richmond Road,Casual Dining,Chinese,1200,Dine-out,Lavelle Road
The Market - The Ritz-Carlton,False,True,4.3,620,Residency Road,Fine Dining,"North Indian, European, Thai",3400,Dine-out,Lavelle Road
WelcomCafe Jacaranda - WelcomHotel Bengaluru,False,False,4.0,53,Richmond Road,Fine Dining,"Asian, Continental, North Indian",2000,Dine-out,Lavelle Road
Amber Rush Restobar,False,True,4.1,101,Residency Road,Pub,"Continental, Chinese, Fast Food",1000,Dine-out,Lavelle Road
Anupam's Coast II Coast,True,True,4.2,856,Church Street,Casual Dining,"Seafood, Mangalorean, North Indian, Chinese",1400,Dine-out,Lavelle Road
Kebabs & Kurries - ITC Gardenia,False,True,4.3,361,Richmond Road,Fine Dining,"North Indian, Mughlai",3500,Dine-out,Lavelle Road
Cobaja,True,True,4.3,74,Brigade Road,Casual Dining,"Seafood, South Indian, Bar Food, Mangalorean, Konkan",700,Dine-out,Lavelle Road
Laughing Llama Gastropub,True,True,4.2,404,Brigade Road,"Bar, Casual Dining","Finger Food, Continental, Pizza",1600,Dine-out,Lavelle Road
Plan B,False,False,4.2,2028,Shanti Nagar,"Casual Dining, Pub","American, Finger Food, BBQ, Steak",1200,Dine-out,Lavelle Road
Japan Travel Cafe Azuki,False,False,4.3,72,Residency Road,Cafe,"Cafe, Japanese",400,Dine-out,Lavelle Road
Little Green Cafe,False,False,4.3,792,Church Street,"Cafe, Casual Dining","Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900,Dine-out,Lavelle Road
Kobe Sizzlers,True,False,4.1,1131,Brigade Road,Casual Dining,"American, Continental, Fast Food, Steak",1500,Dine-out,Lavelle Road
Coconut Grove,False,True,3.9,684,Church Street,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood",1200,Dine-out,Lavelle Road
Pashto,False,False,4.1,787,Residency Road,Casual Dining,"North Indian, Mughlai, Afghan",800,Dine-out,Lavelle Road
Smaaash,False,True,4.2,546,MG Road,"Casual Dining, Pub","North Indian, Pizza, Chinese",1500,Dine-out,Lavelle Road
Season - Adarsh Hamilton,False,True,4.3,330,Richmond Road,Casual Dining,"North Indian, Chinese, South Indian, Continental",1200,Dine-out,Lavelle Road
Edo Restaurant & Bar - ITC Gardenia,False,True,4.3,237,Richmond Road,Fine Dining,Japanese,4000,Dine-out,Lavelle Road
Hamza,False,False,3.9,168,Shivajinagar,Casual Dining,"North Indian, Chinese",500,Dine-out,Lavelle Road
Roomali,False,True,4.0,178,Church Street,Casual Dining,North Indian,1300,Dine-out,Lavelle Road
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,True,False,4.1,117,Richmond Road,Cafe,"BBQ, Continental, Burger, Wraps, Pizza, Cafe",700,Dine-out,Lavelle Road
Riwaz - The Ritz-Carlton,False,True,4.1,275,Residency Road,"Fine Dining, Bar",North Indian,4000,Dine-out,Lavelle Road
Masala Klub - The Taj West End,False,True,4.4,309,Race Course Road,Fine Dining,"North Indian, South Indian",4000,Dine-out,Lavelle Road
Kudla - Hotel Ramanashree,True,True,4.2,354,Richmond Road,Casual Dining,"South Indian, Andhra, Chinese",1200,Dine-out,Lavelle Road
Panchavati Gaurav Thali,False,True,4.0,930,Brigade Road,Casual Dining,"Rajasthani, Gujarati",800,Dine-out,Lavelle Road
Oye Amritsar,True,True,4.1,456,Church Street,Casual Dining,North Indian,600,Dine-out,Lavelle Road
Pecos Classic,False,True,4.1,557,Brigade Road,"Pub, Casual Dining",Finger Food,1100,Dine-out,Lavelle Road
My Space - WelcomeHotel Bengaluru,False,False,3.9,23,Richmond Road,Bar,Finger Food,2000,Dine-out,Lavelle Road
Guzzlers Inn,False,False,3.9,951,Brigade Road,Pub,"North Indian, Chinese",1100,Dine-out,Lavelle Road
Chin Lung Resto Bar,False,False,4.0,434,Residency Road,Bar,"North Indian, Chinese, Fast Food",1000,Dine-out,Lavelle Road
Puran da Dhaba - The Pride Hotel,True,False,4.0,166,Richmond Road,"Casual Dining, Bar",North Indian,1700,Dine-out,Lavelle Road
Le Rock,True,False,4.1,1214,Brigade Road,Bar,"Continental, Chinese",2000,Dine-out,Lavelle Road
Red Onion,True,True,4.3,569,Shanti Nagar,Casual Dining,"Chinese, North Indian, Biryani, Kebab",1200,Dine-out,Lavelle Road
Qissa Khawani,True,False,4.3,327,Church Street,Casual Dining,"North Indian, Mughlai",800,Dine-out,Lavelle Road
Ging - Royal Orchid Central,True,True,4.4,232,MG Road,"Bar, Casual Dining",Asian,2000,Dine-out,Lavelle Road
Memories of China - Taj MG Road Bengaluru,False,True,4.3,454,MG Road,Fine Dining,"Chinese, Momos",3000,Dine-out,Lavelle Road
Fuel Resto Bar,False,False,4.2,38,Richmond Road,Bar,"Finger Food, Mediterranean, North Indian",2000,Dine-out,Lavelle Road
Somilan Steak House,False,False,4.3,539,Church Street,Casual Dining,"North Eastern, Asian, Naga, Steak, Momos",800,Dine-out,Lavelle Road
Ithaca - The Chancery Pavilion,False,True,3.9,312,Residency Road,Fine Dining,"North Indian, Italian, European, Continental",2000,Dine-out,Lavelle Road
The Lantern Restaurant & Bar - The Ritz-Carlton...,False,True,4.3,430,Residency Road,"Fine Dining, Bar",Chinese,3500,Dine-out,Lavelle Road
Foodhall,True,False,4.0,114,MG Road,Casual Dining,"Italian, Bakery, Fast Food",1000,Dine-out,Lavelle Road
Tiger Trail - Ramada Hotel,True,True,4.0,190,Shivajinagar,"Casual Dining, Bar","North Indian, Lucknowi",1300,Dine-out,Lavelle Road
Wolf'ish,True,False,4.1,481,Church Street,Cafe,"Cafe, American, Italian, Pizza, Burger",700,Dine-out,Lavelle Road
Chung Wah,True,False,4.0,362,Residency Road,Casual Dining,"Chinese, Thai, Momos, Vietnamese",1000,Dine-out,Lavelle Road
Peace Restaurant,True,False,2.8,110,Shanti Nagar,Casual Dining,"Chinese, Tibetan, North Indian",500,Dine-out,Lavelle Road
Utse Kitchen,True,False,4.2,175,Commercial Street,Casual Dining,"Nepalese, Tibetan, Momos",800,Dine-out,Lavelle Road
Ice - Taj MG Road Bengaluru,False,True,4.1,611,MG Road,Club,Continental,2800,Dine-out,Lavelle Road
Blue Bar - The Taj West End,False,True,4.0,116,Race Course Road,Lounge,Continental,2500,Dine-out,Lavelle Road
Peppa Zzing,True,False,4.3,1135,Infantry Road,Cafe,"Cafe, Fast Food, Burger",800,Dine-out,Lavelle Road
Kabab Korner,True,False,3.9,206,St. Marks Road,Casual Dining,"North Indian, Chinese, Fast Food",500,Dine-out,Lavelle Road
The Flying Squirrel,False,False,4.0,27,Brigade Road,Cafe,Cafe,450,Dine-out,Lavelle Road
i-Bar - The Park Bangalore,False,False,3.8,621,MG Road,Lounge,"North Indian, Chinese, Mediterranean",3000,Dine-out,Lavelle Road
The Courtyard,False,True,3.9,300,Shanti Nagar,Cafe,"Cafe, Italian",750,Dine-out,Lavelle Road
Imperial Restaurant,True,False,3.9,366,Residency Road,Casual Dining,"North Indian, Chinese, Mughlai, Seafood",800,Dine-out,Lavelle Road
Marzipan @ The Bohemian House,False,False,4.2,50,Richmond Road,Cafe,Cafe,,Dine-out,Lavelle Road
Dakshin Restaurant,True,False,3.6,17,Brigade Road,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",800,Dine-out,Lavelle Road
Cafe Imroze,True,False,3.6,96,Infantry Road,"Cafe, Casual Dining","Cafe, Burger, Italian, Fast Food",650,Dine-out,Lavelle Road
Fort Kochi,False,True,4.1,338,MG Road,"Casual Dining, Bar","Kerala, Seafood",1800,Dine-out,Lavelle Road
Ayda Persian Kitchen,True,False,3.9,227,Church Street,Casual Dining,"North Indian, Iranian",950,Dine-out,Lavelle Road
Shaken & Stirred,True,False,3.9,86,Race Course Road,"Bar, Casual Dining","Continental, North Indian, Chinese",1500,Dine-out,Lavelle Road
Lotus Pavilion - ITC Gardenia,False,True,4.2,178,Richmond Road,Fine Dining,Continental,3000,Dine-out,Lavelle Road
The Egg Factory,True,False,4.2,1770,St. Marks Road,Casual Dining,"Continental, American",750,Dine-out,Lavelle Road
Pizza Hut,True,False,3.9,388,Brigade Road,Casual Dining,"Pizza, Fast Food",750,Dine-out,Lavelle Road
Fusion Lounge,False,False,2.0,397,Brigade Road,Lounge,Finger Food,1500,Dine-out,Lavelle Road
Nossa Goa,True,True,4.1,300,Richmond Road,Casual Dining,"Goan, Seafood, Konkan, Desserts",1000,Dine-out,Lavelle Road
Chugg,False,True,3.9,747,Church Street,Pub,"Finger Food, Continental, Asian, North Indian",1500,Dine-out,Lavelle Road
The Good Grain,True,False,4.1,54,Residency Road,Casual Dining,"Healthy Food, North Indian, South Indian",550,Dine-out,Lavelle Road
Happy Belly Bakes,True,False,4.1,118,MG Road,"Cafe, Bakery","Cafe, Bakery",500,Dine-out,Lavelle Road
New Hilal Restaurant,True,False,4.0,111,Shivajinagar,Casual Dining,"North Indian, Chinese, Mughlai",700,Dine-out,Lavelle Road
Trick Or Treat,False,False,4.2,620,Brigade Road,Cafe,"Cafe, Burger, Continental, Pizza, Steak",500,Dine-out,Lavelle Road
Scottish Pub,False,False,3.9,190,St. Marks Road,Bar,Finger Food,600,Dine-out,Lavelle Road
Palmgrove,False,False,4.0,227,Residency Road,Casual Dining,"North Indian, South Indian, Chinese, Juices",700,Dine-out,Lavelle Road
OCEA HOTEL,True,False,3.7,280,Brigade Road,Casual Dining,"North Indian, Chinese, Seafood",800,Dine-out,Lavelle Road
The Biryani Paradise,False,False,3.8,32,Richmond Road,Quick Bites,"Biryani, South Indian",350,Dine-out,Lavelle Road
Taj Hotel,True,False,3.7,110,Shivajinagar,Casual Dining,"Mughlai, Chinese",700,Dine-out,Lavelle Road
Maravanthe,True,False,3.5,12,Brigade Road,Casual Dining,"Mangalorean, Seafood",650,Dine-out,Lavelle Road
Parika Multicuisine Restaurant,True,True,3.8,203,Richmond Road,Casual Dining,"North Indian, Chinese, Mughlai",1200,Dine-out,Lavelle Road
WYT RestroPub,False,False,2.7,406,MG Road,Pub,"North Indian, Chinese",1000,Dine-out,Lavelle Road
MTR 1924,False,False,4.2,700,St. Marks Road,Quick Bites,South Indian,300,Dine-out,Lavelle Road
Thai House,True,False,4.3,129,Brigade Road,Casual Dining,Thai,700,Dine-out,Lavelle Road
Kaulige Millet Corner,True,False,4.0,32,Brigade Road,Quick Bites,"Healthy Food, South Indian",300,Dine-out,Lavelle Road
Desi Inn,True,False,3.5,13,Shanti Nagar,Quick Bites,North Indian,300,Dine-out,Lavelle Road
The Oriental Spice - Ashraya Hotel,True,False,3.9,158,Infantry Road,Casual Dining,"Chinese, Thai, Indonesian",1300,Dine-out,Lavelle Road
Revoli Hotel,False,False,3.2,22,Shanti Nagar,Casual Dining,"South Indian, Chinese",450,Dine-out,Lavelle Road
ThrowBack - Pub & Dine,False,False,3.9,234,Langford Town,"Bar, Casual Dining","Italian, North Indian, Continental",1000,Dine-out,Lavelle Road
Shyvan Restaurant,True,False,3.6,83,Shanti Nagar,Casual Dining,"North Indian, Chinese",500,Dine-out,Lavelle Road
Pinxx - Royal Orchid Central,True,True,3.8,200,MG Road,Casual Dining,"Italian, European",1600,Dine-out,Lavelle Road
Swathi Deluxe Restaurant,True,False,2.9,75,Shanti Nagar,Casual Dining,North Indian,500,Dine-out,Lavelle Road
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© MH-28,True,False,3.4,9,Shivajinagar,Cafe,Cafe,300,Dine-out,Lavelle Road
One Atria Cafe,False,True,3.8,110,Race Course Road,Casual Dining,"South Indian, Continental, North Indian",1600,Dine-out,Lavelle Road
Monsoon - The Park Bangalore,False,True,4.1,274,MG Road,Fine Dining,"Italian, North Indian",3000,Dine-out,Lavelle Road
Alampur Bar And Restaurant,True,False,3.7,43,Race Course Road,Casual Dining,"Chinese, South Indian, North Indian",900,Dine-out,Lavelle Road
Al Noor,False,False,3.8,22,Shivajinagar,Quick Bites,"North Indian, Chinese, Arabian, Rolls",350,Dine-out,Lavelle Road
Kamat Hotel,False,False,3.6,62,Shivajinagar,Casual Dining,"North Indian, South Indian, Chinese",450,Dine-out,Lavelle Road
Cafe Treat - The Pride Hotel,True,False,4.1,118,Richmond Road,Casual Dining,"Continental, Asian, Italian",1000,Dine-out,Lavelle Road
Woody's,False,False,2.5,433,Commercial Street,Casual Dining,"Chinese, South Indian, North Indian",650,Dine-out,Lavelle Road
Little Chef,False,False,4.0,102,Richmond Road,Casual Dining,Chinese,550,Dine-out,Lavelle Road
Fatso's,True,False,3.8,75,Brigade Road,Cafe,"Cafe, American, Italian, Burger",650,Dine-out,Lavelle Road
Tijouri,False,True,4.0,76,Race Course Road,Fine Dining,"North Indian, Mughlai",2800,Dine-out,Lavelle Road
Mint Masala,False,False,2.8,254,Infantry Road,Casual Dining,"North Indian, Chinese",1000,Dine-out,Lavelle Road
Downtown,False,False,3.7,297,Residency Road,Pub,"North Indian, Continental",1000,Dine-out,Lavelle Road
The Lobby Lounge - The Ritz-Carlton,False,False,4.1,28,Residency Road,Casual Dining,Beverages,2000,Dine-out,Lavelle Road
The Ritz-Carlton Bar - The Ritz-Carlton,False,False,4.0,93,Residency Road,Lounge,Finger Food,2000,Dine-out,Lavelle Road
Sphyre - Gateway Hotel,False,False,3.6,45,Residency Road,Lounge,Finger Food,1700,Dine-out,Lavelle Road
The CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© @ Saanchi,False,False,4.0,31,Richmond Road,Cafe,Cafe,800,Dine-out,Lavelle Road
Skyline Family Restaurant,True,False,3.4,33,Shanti Nagar,Casual Dining,"North Indian, Chinese, Seafood, Mangalorean",550,Dine-out,Lavelle Road
The Chariot,True,False,2.9,50,Brigade Road,Quick Bites,"South Indian, North Indian, Chinese",350,Dine-out,Lavelle Road
A2B - Adyar Ananda Bhavan,True,False,3.9,185,Shanti Nagar,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food",400,Dine-out,Lavelle Road
Tewari Bros Mithai Shoppie,True,False,3.8,59,Commercial Street,Sweet Shop,"Fast Food, Mithai",300,Dine-out,Lavelle Road
Aqua - The Park Bangalore,False,True,4.0,195,MG Road,"Lounge, Bar","North Indian, Mediterranean, Chinese",3000,Dine-out,Lavelle Road
Strikers Sports Bar and Music,False,True,3.8,73,Shanti Nagar,Bar,"Continental, North Indian, Chinese",1200,Dine-out,Lavelle Road
Polo Club - The Oberoi,False,False,4.1,116,MG Road,Fine Dining,"American, North Indian, European, Tex-Mex",3000,Dine-out,Lavelle Road
Yak's Kitchen,False,False,4.0,165,Brigade Road,Quick Bites,"Chinese, Tibetan, Momos",400,Dine-out,Lavelle Road
The Adukkala Restaurant,True,False,3.6,41,Brigade Road,Casual Dining,Kerala,500,Dine-out,Lavelle Road
Tata Cha,True,False,3.8,68,Church Street,"Beverage Shop, Cafe","Cafe, Tea, North Indian",500,Dine-out,Lavelle Road
Saatvikk,False,False,2.8,132,Brigade Road,Casual Dining,"North Indian, South Indian, Continental",650,Dine-out,Lavelle Road
Sidewalk Cafe - Nahar's Heritage Hotel,False,False,3.9,135,St. Marks Road,Casual Dining,"Italian, Fast Food",800,Dine-out,Lavelle Road
Szechwan Court - The Oberoi,False,False,4.1,171,MG Road,Fine Dining,Chinese,2500,Dine-out,Lavelle Road
Rahhams,True,False,2.6,310,Shanti Nagar,Casual Dining,"Mughlai, North Indian, Chinese",700,Dine-out,Lavelle Road
Haldiram's Express,True,False,3.6,44,Brigade Road,Kiosk,North Indian,300,Dine-out,Lavelle Road
Kabab Magic,True,False,3.9,75,Richmond Road,Quick Bites,"North Indian, Kebab, Fast Food",500,Dine-out,Lavelle Road
Curry with a 'K' - St. Mark's Hotel,False,False,3.9,90,St. Marks Road,Casual Dining,"North Indian, Mughlai, Hyderabadi",1400,Dine-out,Lavelle Road
Shaadi Ki Biryani,True,False,2.8,302,Commercial Street,Casual Dining,Biryani,500,Dine-out,Lavelle Road
Halli Oota,False,False,3.3,6,St. Marks Road,Casual Dining,"South Indian, Biryani",450,Dine-out,Lavelle Road
Driven Cafe,True,False,3.4,122,Residency Road,Cafe,"Cafe, Beverages, Fast Food",600,Dine-out,Lavelle Road
In Wok,True,False,3.6,118,Richmond Road,Casual Dining,Chinese,500,Dine-out,Lavelle Road
Soul Cafe,False,True,3.9,316,MG Road,Cafe,"Cafe, Continental, Italian",800,Dine-out,Lavelle Road
Barista,False,False,3.7,35,Shanti Nagar,Cafe,Cafe,300,Dine-out,Lavelle Road
Chaithanya Delicacy,False,False,3.7,53,Richmond Road,Casual Dining,"South Indian, North Indian, Chinese, Beverages",600,Dine-out,Lavelle Road
Beijing Bites,True,False,3.8,265,Richmond Road,Casual Dining,"Chinese, Thai",850,Dine-out,Lavelle Road
China South,False,False,3.4,4,Brigade Road,Casual Dining,"Chinese, Tibetan",600,Dine-out,Lavelle Road
Pind Balluchi,True,True,4.0,1024,Brigade Road,Casual Dining,"North Indian, Mughlai, Kebab",700,Dine-out,Lavelle Road
Wazir's,True,False,3.3,262,Shanti Nagar,Casual Dining,"North Indian, Chinese",500,Dine-out,Lavelle Road
Northern Gate- Gateway Hotel,False,True,4.0,102,Residency Road,Casual Dining,North Indian,1900,Dine-out,Lavelle Road
Canopy,False,False,3.0,108,MG Road,Casual Dining,"North Indian, Continental, Chinese",800,Dine-out,Lavelle Road
Cafe @ Elanza,False,False,3.7,145,Richmond Road,"Casual Dining, Cafe","Chinese, North Indian, Cafe",1000,Dine-out,Lavelle Road
Cafe 22,False,False,3.0,11,Church Street,Cafe,"Cafe, Fast Food",700,Dine-out,Lavelle Road
Chai Ki Tapri,False,False,3.7,16,MG Road,Cafe,Cafe,250,Dine-out,Lavelle Road
Tempura Restaurant,False,False,3.9,122,Brigade Road,Casual Dining,"Japanese, Chinese, Tibetan, Momos",500,Dine-out,Lavelle Road
Desi Deck,True,True,3.9,96,Brigade Road,"Casual Dining, Bar","Mughlai, North Indian, Desserts",1300,Dine-out,Lavelle Road
The RoofTop,False,False,3.3,4,St. Marks Road,Casual Dining,"North Indian, Asian, Mediterranean",1000,Dine-out,Lavelle Road
Mighty Small,False,False,4.1,259,MG Road,"Casual Dining, Bar","Continental, Chinese",,Dine-out,Lavelle Road
White Plate,False,True,4.2,260,MG Road,"Casual Dining, Bar","Thai, Continental, North Indian",1500,Dine-out,Lavelle Road
The Hub - Ibis Hotel,False,False,3.5,29,Richmond Road,Bar,"Finger Food, Fast Food, Continental",2200,Dine-out,Lavelle Road
No 10 Fort Cochin,False,False,3.4,6,Residency Road,Casual Dining,"South Indian, Seafood, Kerala, Biryani",800,Dine-out,Lavelle Road
Chai Point,True,False,4.0,134,Residency Road,"Beverage Shop, Quick Bites","Fast Food, Beverages",250,Dine-out,Lavelle Road
The Jungle Terrace,True,False,3.5,13,Brigade Road,Casual Dining,"Continental, Mexican, Lebanese",600,Dine-out,Lavelle Road
MoXa Bistro,False,True,3.9,36,Brigade Road,Casual Dining,"Continental, Italian, North Indian, Pizza",1500,Dine-out,Lavelle Road
Naidu Military Hotel,False,False,2.7,26,Shanti Nagar,Casual Dining,"South Indian, Chinese, Biryani",600,Dine-out,Lavelle Road
Tiffanys,False,False,2.9,31,Shanti Nagar,Casual Dining,"Continental, Italian, Chinese",1000,Dine-out,Lavelle Road
Aromas Of South,True,False,3.7,46,Race Course Road,Casual Dining,South Indian,1000,Dine-out,Lavelle Road
70 Brigade - Iris Hotel,False,True,3.9,105,Brigade Road,Casual Dining,"Chinese, North Indian, Pizza",1000,Dine-out,Lavelle Road
Nithyothsav - Hotel Ramanashree,False,False,3.0,31,MG Road,Casual Dining,"North Indian, Chinese",1000,Dine-out,Lavelle Road
Cafe Monarch Luxur,False,False,3.8,23,Infantry Road,Casual Dining,"North Indian, South Indian, Chinese, Fast Food",800,Dine-out,Lavelle Road
Flame Pub & Restaurant - Brigade Garden,False,False,2.9,24,Brigade Road,"Bar, Casual Dining","Bar Food, North Indian",1900,Dine-out,Lavelle Road
Jaisalmer,False,False,3.7,57,St. Marks Road,Casual Dining,"North Indian, Chinese",700,Dine-out,Lavelle Road
Hashtag Cafe,False,False,2.8,46,Brigade Road,Cafe,"Cafe, Continental, European, Italian",700,Dine-out,Lavelle Road
Sunehri,False,False,3.8,67,Richmond Road,Casual Dining,South Indian,500,Dine-out,Lavelle Road
Page 3 Multicuisine Restaurant & Bar,False,False,3.5,14,Residency Road,Bar,"North Indian, Chinese, Finger Food",800,Dine-out,Lavelle Road
Masala Kitchen,False,False,3.0,4,Brigade Road,Casual Dining,North Indian,700,Dine-out,Lavelle Road
Ottimo - ITC Gardenia,False,True,4.3,165,Richmond Road,Fine Dining,"Italian, Salad",3000,Dine-out,Lavelle Road
Bazaar- Zone By The Park,False,True,3.8,52,Infantry Road,Casual Dining,"Continental, South Indian, North Indian, Asian",1100,Dine-out,Lavelle Road
Hotel Shangrila,False,False,3.7,125,Brigade Road,Casual Dining,"Chinese, Momos",600,Dine-out,Lavelle Road
Sri Vishnu Bhavan Veg,False,False,,0,Shanti Nagar,Quick Bites,"South Indian, North Indian, Chinese",250,Dine-out,Lavelle Road
Nawab's Kolkatta Roll,False,False,3.4,5,Brigade Road,Kiosk,"Street Food, Rolls",150,Dine-out,Lavelle Road
Shan Restaurant,True,False,3.0,20,Brigade Road,Quick Bites,"Kerala, Chinese, South Indian, North Indian",400,Dine-out,Lavelle Road
Hatti Punjab Di,True,False,2.8,20,Brigade Road,Casual Dining,"North Indian, Chinese",550,Dine-out,Lavelle Road
Stir Fry,False,False,4.0,209,Residency Road,Casual Dining,"Chinese, Momos",500,Dine-out,Lavelle Road
MM Bar & Restaurant,False,False,3.6,11,Shivajinagar,Bar,"South Indian, North Indian",700,Dine-out,Lavelle Road
Coco Grove Beer Cafe,False,False,3.8,151,Church Street,Casual Dining,Continental,800,Dine-out,Lavelle Road
Bread and Circus,False,False,3.7,50,Shanti Nagar,Cafe,"Cafe, Fast Food, Pizza, Burger",550,Dine-out,Lavelle Road
Funjabi,False,False,3.5,140,Church Street,Casual Dining,North Indian,600,Dine-out,Lavelle Road
AM Biryani Junction,False,False,,0,Richmond Road,Quick Bites,"North Indian, Chinese, Biryani",300,Dine-out,Lavelle Road
Sandhya Sagar,False,False,,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, South Indian",300,Dine-out,Lavelle Road
Mehendi,False,False,,0,Residency Road,Casual Dining,"North Indian, Chinese",700,Dine-out,Lavelle Road
Baahubelly,False,False,3.7,68,Brigade Road,Casual Dining,"South Indian, North Indian",500,Dine-out,Lavelle Road
Smokie Brownie,False,False,3.2,7,Brigade Road,Cafe,Cafe,600,Dine-out,Lavelle Road
Gowdara Naati Mane,False,False,,0,Residency Road,Casual Dining,"South Indian, Biryani",600,Dine-out,Lavelle Road
Nandhini Paradise,False,True,3.6,278,St. Marks Road,"Casual Dining, Bar","Andhra, Chinese, North Indian",800,Dine-out,Lavelle Road
Aathithya,False,False,3.1,16,Infantry Road,Casual Dining,"North Indian, Continental, Chinese",1100,Dine-out,Lavelle Road
The Lounge - The Chancery Pavilion,False,False,3.7,34,Residency Road,Casual Dining,"Chinese, North Indian, South Indian",2000,Dine-out,Lavelle Road
VT Sindhur Veg,False,False,3.3,13,Richmond Road,Casual Dining,"North Indian, Chinese",600,Dine-out,Lavelle Road
Alibi - Maya International Hotel,False,False,1.8,225,Church Street,Casual Dining,"North Indian, Continental, Chinese",1200,Dine-out,Lavelle Road
Monarch,False,False,3.5,10,Brigade Road,Casual Dining,"North Indian, Chinese, Continental, South Indian",700,Dine-out,Lavelle Road
Hotel Green Tara,False,False,3.9,42,Brigade Road,Casual Dining,"Chinese, Tibetan, Momos",500,Dine-out,Lavelle Road
Nagashree's,False,False,2.9,46,Shanti Nagar,Casual Dining,"South Indian, North Indian, Fast Food",550,Dine-out,Lavelle Road
Mughals Restaurant,False,False,3.1,17,Shivajinagar,Casual Dining,"Mughlai, North Indian, Chinese, Biryani, Seafood",550,Dine-out,Lavelle Road
Daivik,False,False,3.3,6,Race Course Road,Casual Dining,"North Indian, South Indian, Chinese",650,Dine-out,Lavelle Road
Prawn Crunch,False,False,,0,St. Marks Road,,"Seafood, Fast Food",400,Dine-out,Lavelle Road
Norsha Caffe,False,False,3.3,6,Commercial Street,Cafe,Cafe,400,Dine-out,Lavelle Road
By Chance,False,True,,0,Brigade Road,"Pub, Casual Dining","North Indian, Continental, Chinese, Italian",1100,Dine-out,Lavelle Road
No 10 Fort Cochin,True,True,3.8,195,St. Marks Road,Casual Dining,"Biryani, Kerala, Seafood, South Indian",800,Dine-out,Lavelle Road
Unicorn Bar & Restaurant,False,False,3.9,119,Infantry Road,"Casual Dining, Bar","Seafood, North Indian, Chinese",800,Dine-out,Lavelle Road
Murugan Mess,False,False,3.3,7,Shivajinagar,Mess,South Indian,150,Dine-out,Lavelle Road
Luscious - St. Mark's Hotel,False,False,3.7,11,St. Marks Road,Lounge,"North Indian, Continental",1200,Dine-out,Lavelle Road
Spice It,False,False,3.8,52,Richmond Road,Casual Dining,"North Indian, Continental, Italian",1200,Dine-out,Lavelle Road
Lifetree CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,False,False,3.4,10,Richmond Road,Casual Dining,"North Indian, Chinese, Continental",700,Dine-out,Lavelle Road
The Perfect Stop,False,False,3.5,11,Shanti Nagar,Quick Bites,"Italian, Fast Food, Pizza",300,Dine-out,Lavelle Road
Biryani Paradise,False,False,3.4,6,Shanti Nagar,Quick Bites,"Biryani, Fast Food",400,Dine-out,Lavelle Road
Petoo,False,False,3.7,32,Commercial Street,Casual Dining,"North Indian, Fast Food, Street Food",800,Dine-out,Lavelle Road
The Whiskey Bar,False,True,3.7,44,Race Course Road,Bar,"Finger Food, North Indian",2800,Dine-out,Lavelle Road
Taste Of Kerala,False,False,2.3,48,Residency Road,Casual Dining,"Kerala, Seafood",600,Dine-out,Lavelle Road
Strawberry Moon,False,False,3.4,5,Race Course Road,"Casual Dining, Bar",Finger Food,1500,Dine-out,Lavelle Road
The Charlton Bar,False,False,3.3,4,Residency Road,Bar,"Chinese, North Indian",1000,Dine-out,Lavelle Road
New Kohinoor Hotel,False,False,3.2,9,Commercial Street,Casual Dining,North Indian,450,Dine-out,Lavelle Road
Mallige,False,False,3.2,5,Race Course Road,Casual Dining,"North Indian, South Indian",700,Dine-out,Lavelle Road
Amnesia - The Poolside Bar,False,False,3.7,15,Residency Road,"Casual Dining, Bar","North Indian, Chinese, Continental",2000,Dine-out,Lavelle Road
Dad's Coffee Club,False,False,,0,Residency Road,Cafe,"North Indian, South American, Cafe",200,Dine-out,Lavelle Road
Magic Biryani,False,False,,0,Richmond Road,Quick Bites,"Biryani, Kebab",150,Dine-out,Lavelle Road
RR Catering,False,False,3.4,10,MG Road,Quick Bites,"North Indian, Chinese, Biryani",350,Dine-out,Lavelle Road
Dasaprakash Cafe,False,False,3.2,10,MG Road,Cafe,Cafe,400,Dine-out,Lavelle Road
